Date_Hour,Forward_Jitter_PRI,Backward_Jitter_PRI,Roundtrip_Latency_PRI,Forward_Percent_Pkt_Loss_PRI,Backward_Percent_Pkt_Loss_PRI,Forward_Jitter_SEC,Backward_Jitter_SEC,Roundtrip_Latency_SEC,Forward_Percent_Pkt_Loss_SEC,Backward_Percent_Pkt_Loss_SEC
03/10/2025 05:00,21.37,0.99,24.28,0,0,18.38,1.01,26.06,0,0
03/10/2025 06:00,22.42,1.00,23.43,0,0,22.55,1.00,26.48,0,0
03/10/2025 07:00,22.11,0.99,23.23,0,0,17.37,0.99,26.76,0,0
03/10/2025 08:00,13.97,1.01,25.44,0,0,20.04,0.99,26.61,0,0
03/10/2025 09:00,17.06,1.01,23.45,0,0,17.63,1.00,24.36,0,0
03/10/2025 10:00,13.87,1.01,24.25,0,0,18.66,1.00,25.08,0,0
03/10/2025 11:00,13.94,1.00,22.97,0,0,16.31,1.00,26.92,0,0
03/10/2025 12:00,9.52,1.00,22.57,0,0,19.53,1.00,26.67,0,0
03/10/2025 13:00,16.25,1.00,23.19,0.08,0,19.56,0.99,25.00,0,0
03/10/2025 14:00,15.87,1.00,23.81,0,0,16.39,1.00,24.12,0,0
03/10/2025 15:00,18.93,1.00,22.93,0,0,16.26,0.99,25.75,0,0
03/10/2025 16:00,18.37,1.00,22.90,0,0,25.41,1.00,26.79,0,0
03/10/2025 17:00,20.18,0.99,22.23,0,0,23.64,1.00,29.06,0,0
03/10/2025 18:00,22.44,0.99,23.45,0,0,24.88,0.99,26.22,0,0
03/10/2025 19:00,17.06,1.00,22.87,0,0,27.98,1.01,27.39,0,0
03/10/2025 20:00,17.59,0.99,23.49,0,0,19.05,1.00,25.81,0,0
03/10/2025 21:00,17.89,1.00,22.34,0,0,16.02,1.00,24.87,0,0
03/10/2025 22:00,13.93,1.01,21.87,0,0,17.35,1.00,26.10,0,0
03/10/2025 23:00,21.34,0.99,22.93,0,0,16.90,1.00,25.43,0,0
03/11/2025 00:00,17.19,1.01,24.06,0,0,24.43,1.00,26.51,0,0
03/11/2025 01:00,19.33,1.00,23.52,0,0,15.10,1.01,25.17,0,0
03/11/2025 02:00,13.74,0.99,22.30,0,0,13.67,1.02,26.05,0,0
03/11/2025 03:00,18.21,0.99,23.02,0,0,15.40,1.00,27.15,0,0
03/11/2025 04:00,18.06,1.00,23.12,0,0,16.47,1.00,24.33,0,0
03/11/2025 05:00,17.00,1.00,22.51,0,0,14.50,0.99,25.00,0,0
03/11/2025 06:00,15.50,0.99,22.15,0,0,16.90,1.00,28.11,0,0
03/11/2025 07:00,14.22,1.00,22.99,0,0,23.89,1.01,26.55,0,0
03/11/2025 08:00,13.40,1.00,25.54,0,0,24.73,1.00,27.20,0,0
03/11/2025 09:00,12.86,1.01,23.57,0,0,21.39,1.00,28.26,0,0
03/11/2025 10:00,13.18,1.02,23.09,0,0,19.81,1.01,26.90,0,0
03/11/2025 11:00,16.81,1.01,24.80,0,0,30.32,1.00,26.51,0,0
03/11/2025 12:00,16.35,1.00,25.23,0,0,22.78,1.03,25.98,0,0
03/11/2025 13:00,17.31,1.00,26.35,0.08,0,19.07,1.00,26.43,0,0
03/11/2025 14:00,16.10,1.02,26.60,0.17,0,18.50,0.99,24.86,0,0
03/11/2025 15:00,17.59,1.01,25.12,0,0,17.04,1.00,25.57,0,0
03/11/2025 16:00,15.48,1.01,23.22,0,0,16.74,1.00,25.68,0,0
03/11/2025 17:00,19.15,1.00,23.63,0,0,17.45,1.00,23.95,0,0
03/11/2025 18:00,18.58,1.00,23.27,0,0,14.96,0.99,26.31,0,0
03/11/2025 19:00,20.33,1.00,23.42,0,0,12.80,0.99,25.28,0,0
03/11/2025 20:00,18.93,1.00,24.11,0,0,17.17,0.99,25.28,0,0
03/11/2025 21:00,19.02,0.99,23.51,0,0,21.56,0.99,26.58,0,0
03/11/2025 22:00,16.80,1.01,24.53,0,0,13.68,1.00,24.69,0,0
03/11/2025 23:00,18.31,1.00,23.10,0,0,18.63,1.00,25.14,0,0
03/12/2025 00:00,24.85,1.00,22.85,0,0,21.89,1.00,25.51,0,0
03/12/2025 01:00,21.78,0.99,24.77,0,0,16.57,1.00,25.36,0,0
03/12/2025 02:00,19.23,1.00,23.82,0,0,18.36,1.00,25.86,0,0
03/12/2025 03:00,22.80,1.01,23.62,0,0,15.79,1.00,25.69,0,0
03/12/2025 04:00,19.63,1.01,22.86,0,0,19.04,1.00,26.06,0,0
03/12/2025 05:00,18.65,1.00,23.29,0,0,17.68,1.00,25.64,0,0
03/12/2025 06:00,18.81,1.02,22.01,0,0,15.68,0.99,25.11,0,0
03/12/2025 07:00,26.66,0.99,23.77,0,0,16.60,1.00,26.37,0,0
03/12/2025 08:00,16.22,1.00,23.74,0,0,24.98,1.00,27.61,0,0
03/12/2025 09:00,13.59,1.02,23.39,0,0,20.69,1.00,24.70,0,0
03/12/2025 10:00,13.11,1.00,22.46,0,0,14.53,1.00,23.29,0,0
03/12/2025 11:00,14.44,1.00,22.31,0,0,16.96,1.00,25.42,0,0
03/12/2025 12:00,15.55,1.00,24.73,0.08,0,16.96,0.99,23.68,0,0
03/12/2025 13:00,16.70,1.00,25.84,0,0,15.95,1.00,24.34,0,0
03/12/2025 14:00,14.88,1.00,27.29,0,0,17.82,1.00,28.44,0,0
03/12/2025 15:00,15.54,1.00,26.75,0,0,21.04,1.01,26.16,0,0
03/12/2025 16:00,15.90,1.00,25.75,0,0,21.06,1.00,27.30,0,0
03/12/2025 17:00,11.80,1.00,24.41,0,0,16.69,1.02,27.33,0,0
03/12/2025 18:00,22.39,1.00,27.17,0,0,19.30,1.02,26.00,0,0
03/12/2025 19:00,17.02,1.00,27.65,0,0,19.99,0.99,27.75,0,0
03/12/2025 20:00,18.46,1.00,25.09,0,0,18.27,1.00,29.17,0,0
03/12/2025 21:00,17.40,1.02,24.09,0,0,22.32,1.00,26.80,0,0
03/12/2025 22:00,20.48,1.00,26.46,0,0,19.89,1.00,26.31,0,0
03/12/2025 23:00,17.01,1.00,26.55,0,0,21.25,1.00,25.75,0,0
03/13/2025 00:00,15.88,1.00,24.55,0,0,20.25,1.00,27.38,0,0
03/13/2025 01:00,16.10,1.00,24.09,0,0,16.95,1.00,27.47,0,0
03/13/2025 02:00,16.85,1.00,24.55,0,0,17.99,1.00,26.82,0,0
03/13/2025 03:00,17.35,1.00,25.30,0,0,18.64,1.00,26.73,0,0
03/13/2025 04:00,24.71,1.01,28.91,0,0,15.96,1.00,27.29,0,0
03/13/2025 05:00,20.86,1.00,25.33,0,0,22.03,1.00,27.35,0,0
03/13/2025 06:00,18.29,1.00,26.59,0,0,15.14,1.00,25.53,0,0
03/13/2025 07:00,23.37,1.00,25.93,0,0,21.44,1.00,28.01,0,0
03/13/2025 08:00,18.69,1.00,30.91,0.08,0,22.99,1.00,27.57,0,0
03/13/2025 09:00,16.49,1.00,27.36,0,0,19.24,1.00,26.83,0,0
03/13/2025 10:00,15.57,1.00,27.38,0,0,22.09,1.00,28.41,0,0
03/13/2025 11:00,17.09,1.00,27.37,0,0,19.03,1.00,27.97,0,0
03/13/2025 12:00,15.94,1.00,26.70,0,0,21.45,1.01,27.95,0,0
03/13/2025 13:00,16.34,1.00,25.91,0,0,19.24,1.00,25.99,0,0
03/13/2025 14:00,18.26,1.01,26.42,0,0,17.49,1.00,27.31,0,0
03/13/2025 15:00,11.09,1.00,26.12,0,0,17.12,1.01,27.39,0,0
